"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Antonio Brown",9200,"Pit@Ind 08:30PM ET",22.260,"Pit"
"RB","Le'Veon Bell",9000,"Pit@Ind 08:30PM ET",25.486,"Pit"
"RB","David Johnson",8900,"Ari@Atl 01:00PM ET",26.730,"Ari"
"WR","Odell Beckham Jr.",8800,"NYG@Cle 01:00PM ET",18.190,"NYG"
"WR","Julio Jones",8500,"Ari@Atl 01:00PM ET",21.950,"Atl"
"WR","T.Y. Hilton",7900,"Pit@Ind 08:30PM ET",18.480,"Ind"
"WR","A.J. Green",7800,"Cin@Bal 01:00PM ET",19.840,"Cin"
"QB","Tom Brady",7800,"NE@NYJ 04:25PM ET",26.317,"NE"
"RB","DeMarco Murray",7700,"Ten@Chi 01:00PM ET",22.836,"Ten"
"WR","Amari Cooper",7700,"Car@Oak 04:25PM ET",18.600,"Oak"
"RB","Jay Ajayi",7600,"SF@Mia 01:00PM ET",16.311,"Mia"
"QB","Andrew Luck",7500,"Pit@Ind 08:30PM ET",22.268,"Ind"
"WR","Mike Evans",7500,"Sea@TB 04:05PM ET",21.560,"TB"
"WR","Jordy Nelson",7400,"GB@Phi 08:30PM ET",17.830,"GB"
"QB","Ben Roethlisberger",7300,"Pit@Ind 08:30PM ET",22.018,"Pit"
"RB","LeSean McCoy",7300,"Jax@Buf 01:00PM ET",18.778,"Buf"
"QB","Marcus Mariota",7200,"Ten@Chi 01:00PM ET",21.116,"Ten"
"WR","Allen Robinson",7200,"Jax@Buf 01:00PM ET",14.870,"Jax"
"QB","Drew Brees",7100,"LA@NO 01:00PM ET",25.088,"NO"
"WR","Larry Fitzgerald",7000,"Ari@Atl 01:00PM ET",18.240,"Ari"
"RB","Melvin Gordon",7000,"SD@Hou 01:00PM ET",22.440,"SD"
"QB","Aaron Rodgers",7000,"GB@Phi 08:30PM ET",25.534,"GB"
"QB","Matt Ryan",6900,"Ari@Atl 01:00PM ET",24.478,"Atl"
"WR","Demaryius Thomas",6900,"KC@Den 08:30PM ET",15.580,"Den"
"TE","Rob Gronkowski",6900,"NE@NYJ 04:25PM ET",15.143,"NE"
"WR","Brandin Cooks",6800,"LA@NO 01:00PM ET",16.920,"NO"
"QB","Cam Newton",6800,"Car@Oak 04:25PM ET",20.471,"Car"
"WR","Julian Edelman",6800,"NE@NYJ 04:25PM ET",12.450,"NE"
"QB","Russell Wilson",6700,"Sea@TB 04:05PM ET",17.886,"Sea"
"WR","Kelvin Benjamin",6700,"Car@Oak 04:25PM ET",14.030,"Car"
"WR","Michael Thomas",6600,"LA@NO 01:00PM ET",15.510,"NO"
"WR","Davante Adams",6600,"GB@Phi 08:30PM ET",16.030,"GB"
"QB","Eli Manning",6500,"NYG@Cle 01:00PM ET",17.292,"NYG"
"WR","Michael Crabtree",6500,"Car@Oak 04:25PM ET",15.610,"Oak"
"WR","Donte Moncrief",6400,"Pit@Ind 08:30PM ET",12.500,"Ind"
"RB","Devonta Freeman",6400,"Ari@Atl 01:00PM ET",15.610,"Atl"
"WR","Doug Baldwin",6400,"Sea@TB 04:05PM ET",16.750,"Sea"
"QB","Philip Rivers",6300,"SD@Hou 01:00PM ET",19.804,"SD"
"WR","DeAndre Hopkins",6300,"SD@Hou 01:00PM ET",12.500,"Hou"
"WR","Emmanuel Sanders",6200,"KC@Den 08:30PM ET",14.180,"Den"
"QB","Derek Carr",6100,"Car@Oak 04:25PM ET",20.720,"Oak"
"RB","Spencer Ware",6100,"KC@Den 08:30PM ET",15.678,"KC"
"WR","Brandon Marshall",6100,"NE@NYJ 04:25PM ET",12.110,"NYJ"
"WR","Steve Smith Sr.",6000,"Cin@Bal 01:00PM ET",14.825,"Bal"
"WR","Tyrell Williams",6000,"SD@Hou 01:00PM ET",14.800,"SD"
"RB","DeAngelo Williams",5900,"Pit@Ind 08:30PM ET",9.838,"Pit"
"QB","Tyrod Taylor",5900,"Jax@Buf 01:00PM ET",18.050,"Buf"
"WR","Jarvis Landry",5900,"SF@Mia 01:00PM ET",14.940,"Mia"
"RB","LeGarrette Blount",5900,"NE@NYJ 04:25PM ET",17.230,"NE"
"WR","Rishard Matthews",5800,"Ten@Chi 01:00PM ET",13.136,"Ten"
"RB","Lamar Miller",5800,"SD@Hou 01:00PM ET",15.270,"Hou"
"TE","Greg Olsen",5800,"Car@Oak 04:25PM ET",15.450,"Car"
"RB","Todd Gurley",5700,"LA@NO 01:00PM ET",12.830,"LA"
"QB","Colin Kaepernick",5700,"SF@Mia 01:00PM ET",17.460,"SF"
"RB","Thomas Rawls",5700,"Sea@TB 04:05PM ET",8.133,"Sea"
"WR","Randall Cobb",5700,"GB@Phi 08:30PM ET",13.778,"GB"
"QB","Blake Bortles",5600,"Jax@Buf 01:00PM ET",20.122,"Jax"
"TE","Tyler Eifert",5600,"Cin@Bal 01:00PM ET",12.350,"Cin"
"RB","Rashad Jennings",5600,"NYG@Cle 01:00PM ET",11.414,"NYG"
"WR","Terrelle Pryor Sr.",5600,"NYG@Cle 01:00PM ET",15.467,"Cle"
"RB","Devontae Booker",5600,"KC@Den 08:30PM ET",7.850,"Den"
"WR","Sterling Shepard",5500,"NYG@Cle 01:00PM ET",12.460,"NYG"
"QB","Ryan Tannehill",5500,"SF@Mia 01:00PM ET",15.456,"Mia"
"RB","Latavius Murray",5500,"Car@Oak 04:25PM ET",16.600,"Oak"
"RB","Matt Forte",5500,"NE@NYJ 04:25PM ET",16.710,"NYJ"
"QB","Andy Dalton",5400,"Cin@Bal 01:00PM ET",18.830,"Cin"
"RB","Tim Hightower",5400,"LA@NO 01:00PM ET",7.080,"NO"
"WR","Kenny Britt",5400,"LA@NO 01:00PM ET",14.560,"LA"
"QB","Jameis Winston",5400,"Sea@TB 04:05PM ET",20.200,"TB"
"QB","Carson Wentz",5400,"GB@Phi 08:30PM ET",14.336,"Phi"
"RB","Jordan Howard",5300,"Ten@Chi 01:00PM ET",15.122,"Chi"
"QB","Joe Flacco",5300,"Cin@Bal 01:00PM ET",16.262,"Bal"
"WR","Mike Wallace",5300,"Cin@Bal 01:00PM ET",15.670,"Bal"
"QB","Carson Palmer",5300,"Ari@Atl 01:00PM ET",17.798,"Ari"
"TE","Jimmy Graham",5300,"Sea@TB 04:05PM ET",14.090,"Sea"
"RB","Frank Gore",5200,"Pit@Ind 08:30PM ET",15.730,"Ind"
"QB","Jay Cutler",5200,"Ten@Chi 01:00PM ET",10.752,"Chi"
"RB","Derrick Henry",5200,"Ten@Chi 01:00PM ET",4.627,"Ten"
"QB","Jared Goff",5200,"LA@NO 01:00PM ET",3.230,"LA"
"WR","Willie Snead",5200,"LA@NO 01:00PM ET",14.278,"NO"
"QB","Brock Osweiler",5100,"SD@Hou 01:00PM ET",12.874,"Hou"
"WR","Will Fuller",5100,"SD@Hou 01:00PM ET",11.113,"Hou"
"RB","C.J. Prosise",5100,"Sea@TB 04:05PM ET",10.167,"Sea"
