"Corey Coleman",4200,CLE,WR,NYG,21.0322,4.3078,12.67
"Rashard Higgins",3000,CLE,WR,NYG,3.62,0,1.81
"Doug Baldwin",6400,SEA,WR,TBB,24.7364,10.1036,17.42
"Ricardo Louis",3000,CLE,WR,NYG,7.052,1.148,4.1
"Andrew Hawkins",3000,CLE,WR,NYG,9.6228,2.2572,5.94
"Dwayne Harris",3000,NYG,WR,CLE,3.06,0,1.53
"Terrelle Pryor",5600,CLE,WR,NYG,21.1048,7.4152,14.26
"Jermaine Kearse",3000,SEA,WR,TBB,13.3812,3.1388,8.26
"Tyler Lockett",3600,SEA,WR,TBB,12.304,3.076,7.69
"Cecil Shorts",3000,TBB,WR,SEA,11.502,2.698,7.1
"Kelvin Benjamin",6700,CAR,WR,OAK,22.8468,6.0732,14.46
"Russell Shepard",3500,TBB,WR,SEA,9.821,2.379,6.1
"Adam Humphries",3700,TBB,WR,SEA,12.7565,3.7035,8.23
"Paul Richardson",3000,SEA,WR,TBB,7.7634,1.3166,4.54
"Mike Evans",7500,TBB,WR,SEA,26.767,10.933,18.85
"Roger Lewis",3000,NYG,WR,CLE,6.1,0,3.05
"Victor Cruz",3500,NYG,WR,CLE,10.0436,6.8364,8.44
"Kenny Britt",5400,LAR,WR,NOS,22.785,6.615,14.7
"Tavon Austin",4200,LAR,WR,NOS,16.4996,3.2604,9.88
"Josh Bellamy",3000,CHI,WR,TEN,6.82,0,3.41
"Cameron Meredith",4700,CHI,WR,TEN,17.19,5.73,11.46
"Marquess Wilson",3000,CHI,WR,TEN,14.4666,3.3934,8.93
"Eddie Royal",3800,CHI,WR,TEN,15.1404,5.3196,10.23
"Brian Quick",3600,LAR,WR,NOS,15.0822,3.5378,9.31
"Bradley Marquez",3000,LAR,WR,NOS,4.36,0,2.18
"Odell Beckham",8800,NYG,WR,CLE,32.7726,10.0674,21.42
"Sterling Shepard",5500,NYG,WR,CLE,18.7632,7.2968,13.03
"Brandon Coleman",3000,NOS,WR,LAR,9.214,1.626,5.42
"Michael Thomas",6600,NOS,WR,LAR,22.0647,7.9553,15.01
"Brandin Cooks",6800,NOS,WR,LAR,27.7083,8.5117,18.11
"Willie Snead",5200,NOS,WR,LAR,22.0539,5.0061,13.53
"Ted Ginn",3900,CAR,WR,OAK,15.698,3.102,9.4
"Devin Funchess",3500,CAR,WR,OAK,15.114,3.206,9.16
"Robby Anderson",3000,NYJ,WR,NEP,10.9373,2.4827,6.71
"Charone Peake",3000,NYJ,WR,NEP,4.44,0,2.22
"Ty Montgomery",4700,GBP,WR,PHI,17.9644,0.5556,9.26
"Jalin Marshall",3000,NYJ,WR,NEP,7.904,1.976,4.94
"Quincy Enunwa",4100,NYJ,WR,NEP,17.479,5.221,11.35
"Malcolm Mitchell",3000,NEP,WR,NYJ,8.61,1.23,4.92
"Brandon Marshall",6100,NYJ,WR,NEP,23.85,6.15,15
"Davante Adams",6600,GBP,WR,PHI,19.2504,5.4296,12.34
"Randall Cobb",5700,GBP,WR,PHI,20.2338,4.7462,12.49
"Dorial Green-Beckham",3000,PHI,WR,GBP,10.3509,2.6691,6.51
"Bryce Treggs",3000,PHI,WR,GBP,9.44,0,4.72
"Nelson Agholor",3000,PHI,WR,GBP,11.9232,2.7968,7.36
"Jordan Matthews",5000,PHI,WR,GBP,22.3351,7.6449,14.99
"Jeff Janis",3000,GBP,WR,PHI,7.18,0,3.59
"Jordy Nelson",7400,GBP,WR,PHI,27.4188,10.1412,18.78
"Chris Hogan",4700,NEP,WR,NYJ,12.7908,2.1692,7.48
"Danny Amendola",3700,NEP,WR,NYJ,10.287,2.413,6.35
"Andre Holmes",3000,OAK,WR,CAR,5.1428,0.8372,2.99
"Jeremy Maclin",5000,KCC,WR,DEN,18.2676,5.1524,11.71
"Seth Roberts",3000,OAK,WR,CAR,12.4176,3.5024,7.96
"Michael Crabtree",6500,OAK,WR,CAR,21.9928,7.7272,14.86
"Philly Brown",3000,CAR,WR,OAK,11.0721,2.1879,6.63
"Amari Cooper",7700,OAK,WR,CAR,28.9014,9.3786,19.14
